表頭=M|載具名稱|載具號碼|發票日期|商店統編|商店店名|發票號碼|總金額|發票狀態|
明細=D|發票號碼|小計|品項名稱|
M|手機條碼|/FBY9RLQ|20240601|42995021|誠品生活股份有限公司南西分公司|BF61710146|280|開立|
D|BF61710146|580|布物設計BUWU， 布料請計製品， 正價品|
D|BF61710146|-100|電子折價券|
D|BF61710146|-200|誠品商品禮券|
M|手機條碼|/FBY9RLQ|20240601|75921437|有心真早餐行|BL79027330|110|開立|
D|BL79027330|110|真芳三明治|
M|手機條碼|/FBY9RLQ|20240601|11364230|欣欣大眾市場股份有限公司|BP43287469|150|開立|
D|BP43287469|150|壽司郎|
M|手機條碼|/FBY9RLQ|20240602|88106247|詠觀國際有限公司辛亥店|BK10881077|169|開立|
D|BK10881077|109|清爽沙拉飯|
D|BK10881077|60|燻鮭魚|
M|【樂購蝦皮】載具|88777125|20240603|56801904|新加坡商蝦皮娛樂電商有限公司台灣分公司|BK32782392|384|作廢|
D|BK32782392|-15|賣家折扣|
D|BK32782392|399|8H出貨 肛門按摩棒 【擬真手指肛門扣動 新手開肛 鎖精束蛋 扣動震爽】 震動肛塞 肛門按摩棒 肛塞 前列腺按摩器 開肛|
M|手機條碼|/FBY9RLQ|20240604|88313549|萊爾富國際股份有限公司第四四七三營業處|AM26613679|129|開立|
D|AM26613679|288|舒潔抽取式衛生紙|
D|AM26613679|-159|促銷折扣|
M|摩斯卡|04118FB2A15B80|20240604|96972707|安心食品服務股份有限公司復興南路分公司|AY70751241|185|開立|
D|AY70751241|185|會員山海日套餐|
M|手機條碼|/FBY9RLQ|20240605|27952966|誠品生活股份有限公司|BF64005440|1371|開立|
D|BF64005440|174|日本 bloom Wabi 十草 盤子/ M/ 綠|
D|BF64005440|175|日本 bloom Wabi 十草 中碗/ 綠|
D|BF64005440|1022|三鄉陶器 Rakusuku 碗盤四件組|
M|手機條碼|/FBY9RLQ|20240606|21715827|嵐科綠茶店|BH55531575|50|開立|
D|BH55531575|50|大●1四季春珍波椰|
M|手機條碼|/FBY9RLQ|20240607|38522269|悠旅生活事業股份有限公司洲子門巿部|AX78209177|185|開立|
D|AX78209177|185|醇濃抹茶星冰樂V|
D|AX78209177|-185|數夏指BAF|
D|AX78209177|185|醇濃抹茶星冰樂V|
M|手機條碼|/FBY9RLQ|20240607|28193605|悠旅生活事業股份有限公司台北市第六十五分公司|AX84912506|510|開立|
D|AX84912506|600|星巴克堅果塔禮盒|
D|AX84912506|-90|夏日購物日|
M|手機條碼|/FBY9RLQ|20240607|24741047|士覺有限公司|BL32631270|1570|作廢|
D|BL32631270|0|宅配-(台灣專用)|
D|BL32631270|0|台灣地區單筆消費滿NT$990，即享免運優惠|
D|BL32631270|-10|點數折現|
D|BL32631270|0|MagTags輕巧隨扣夾組-小圓底座 單顆 (顏色隨機，贈完即止)|
D|BL32631270|399|EasyHouse 造型收納層架 - 花貓|
D|BL32631270|499|EasyHouse 造型收納層架 - 花貓|
D|BL32631270|299|EasyHouse 微型壁掛式彎折層架|
D|BL32631270|559|EasyHouse 微型壁掛式收納層架|
D|BL32631270|-176|收納層架系列，任選３件(含)以上九折|
D|BL32631270|0|微型壁掛式收納層架 買就送 收納小夥伴『輕巧隨扣夾 - 小圓底座』一顆（顏色隨機，限量贈送）|
D|BL32631270|0|獨樂樂不如「粽」樂樂  消費滿$1,500，送你$100購物金回饋|
M|手機條碼|/FBY9RLQ|20240608|70552531|台灣小米通訊有限公司|BF81418140|2335|開立|
D|BF81418140|2335|Xiaomi 無線吸塵器 G20 Lite 美规|
M|手機條碼|/FBY9RLQ|20240610|16606102|網路家庭國際資訊股份有限公司|AF64961971|14900|開立|
D|AF64961971|15900|Dyson Purifier Hot+Cool Gen1 三合一涼暖空氣清淨機 HP10 白色|
D|AF64961971|-1000|活動折扣|
M|摩斯卡|04118FB2A15B80|20240610|76354777|安心食品服務股份有限公司長興門市部|AY75030111|76|開立|
D|AY75030111|76|摘鮮綠烤雞起司堡|
D|AY75030111|0|摩斯蒟蒻冰紅茶|
M|手機條碼|/FBY9RLQ|20240610|26540827|樂華綠茶店|AZ12020652|75|開立|
D|AZ12020652|75|大●紅茶拿鐵|
M|手機條碼|/FBY9RLQ|20240610|72708573|宜得利家居股份有限公司網路購物中心|AZ44580599|4757|開立|
D|AZ44580599|1990|附扶手和室椅 N TERRY GY|
D|AZ44580599|175|枕套 PALETTEC IV 43×63|
D|AZ44580599|139|書本造型收納盒 ksu-ym830-r (EC)|
D|AZ44580599|119|收納置物面紙盒 WH(EC)|
D|AZ44580599|99|餐盤收納架 小型盤用 Ｎ BRANC|
D|AZ44580599|89|動物擦手巾 熊熊|
D|AZ44580599|-250|折扣|
D|AZ44580599|999|涼感可水洗記憶枕 雙面可用 P2404|
D|AZ44580599|799|伸縮床包 N FIT N WARM SP GY 23A20 雙人|
D|AZ44580599|399|可折疊瓦斯爐口上方置物架 WH (EC)|
D|AZ44580599|199|門後掛勾 TOVER10H-BK|
M|手機條碼|/FBY9RLQ|20240611|25193068|笑笑笑國際股份有限公司台北公館分公司|AP38477109|124|開立|
D|AP38477109|55|GP Ultra特強鹼性3號4入(收縮膜)|
D|AP38477109|69|克司博75%酒精液500ml(補充)|
M|手機條碼|/FBY9RLQ|20240611|27745186|悠旅生活事業股份有限公司台北市第五十八分公司|AX84545626|185|開立|
D|AX84545626|185|摩卡可可碎片V杯|
D|AX84545626|-185|夏SPBOGO|
D|AX84545626|185|摩卡可可碎片V杯|
M|手機條碼|/FBY9RLQ|20240611|50785391|悠旅生活事業股份有限公司台北巿第一一六分公司|AX86049855|1|開立|
D|AX86049855|100|松露生巧克力蛋糕|
D|AX86049855|-100|星動糕點兌換|
D|AX86049855|1|零售兩杯飲料袋|
M|手機條碼|/FBY9RLQ|20240611|42485478|台灣和園國際股份有限公司銀角酒場林森店|BL03354020|1496|開立|
D|BL03354020|140|章魚燒|
D|BL03354020|200|炸雞|
D|BL03354020|136|服務費|
D|BL03354020|160|柚香蔥花章魚燒|
D|BL03354020|100|蕃茄切片|
D|BL03354020|100|芝麻小黃瓜|
D|BL03354020|110|葡萄柚汁|
D|BL03354020|110|可爾必思|
D|BL03354020|110|柳橙汁|
D|BL03354020|230|經典大阪燒|
D|BL03354020|100|泡菜|
M|手機條碼|/FBY9RLQ|20240612|10005948|宜家家居股份有限公司觀音營業所|AF29701808|12266|開立|
D|AF29701808|37|RINNIG clean glvs M green AP|
D|AF29701808|27|SLIBB clothes peg green 8-p AP|
D|AF29701808|130|UPPDATERA box 24x17 green AP|
D|AF29701808|377|SOCKERBIT stor box w lid 38x51x30 grey-green AP|
D|AF29701808|189|RILL CASTOR 50 MM GREY 4-P AP CN|
D|AF29701808|169|SLIBB hang dryer 24 clths pegs green AP|
D|AF29701808|93|SOCKERBIT stor box w lid 19x26x15 grey-green AP|
D|AF29701808|471|SOCKERBIT stor box w lid 50x77x19 grey-green AP|
D|AF29701808|56|SVARTSENAP place mat 35x45 light beige-green AP|
D|AF29701808|170|TROFAST mesh stor box 42x30x10 light green-grey AP|
D|AF29701808|141|OBONAS wall shelf w suction cup 28 grey-green AP|
D|AF29701808|112|OBONAS container w suction cup grey-green AP|
D|AF29701808|801|SOCKERBIT stor box w lid 38x76x30 grey-green AP|
D|AF29701808|122|SMYCKA ARTIFICIAL LEAF 65 EUCALYPTUS/GREEN AP CN|
D|AF29701808|188|SANDMOTT cushion 30x58 green/yellow AP|
D|AF29701808|75|OBONAS triple hook w suction cup 7x11 grey-grn AP|
D|AF29701808|46|VALLASAN wshclth 30x30 light green AP|
D|AF29701808|188|TUNNELBANA door mat 40x60 dark green AP|
D|AF29701808|669|VALLKRASSING throw 150x200 grey-green AP|
D|AF29701808|377|NABBFISK tablecloth 150 patt yell/gre/whi round AP|
D|AF29701808|1509|RAGRUND SHELV UT 33 BAMBOO AP CN|
D|AF29701808|1605|MITTZON table top 120x48 birch veneer AP|
D|AF29701808|282|BROGGAN bowl 22 dot pattern white/yellow AP|
D|AF29701808|2359|BROGGAN rug flatw in/out 133x195 dot patt multi AP|
D|AF29701808|377|BROGGAN bowl 20 dot pattern white/yellow AP|
D|AF29701808|119|BUMERANG HANGER NATURAL 8-P AP CN|
D|AF29701808|452|SNORPA pedal bin 12 l stainless steel AP|
D|AF29701808|35|FNISS N WASTE BIN 10 L WHITE AP JP|
D|AF29701808|790|EC_DELIVERY (ONLINE)|
D|AF29701808|300|IR_Staircase_FFC|
M|手機條碼|/FBY9RLQ|20240612|53523822|犇火燻寶有限公司|BF84896739|960|開立|
D|BF84896739|760|ALL AMERICAN 美國大盤|
D|BF84896739|0|美式抓飯 Rice Pilaf|
D|BF84896739|0|黑莓雞球 Blackberry Chicken (台灣）|
D|BF84896739|20|手撕豬肩肉 Pulled Pork (台灣）|
D|BF84896739|60|牛前胸肉 Beef Brisket (美國）|
D|BF84896739|0|花椰菜 Broccoli|
D|BF84896739|0|捲心菜 Coleslaw|
D|BF84896739|0|馬鈴薯泥 Mashed Potatoes|
D|BF84896739|60|雪碧 Sprite|
D|BF84896739|60|雪碧 Sprite|
M|【樂購蝦皮】載具|88777125|20240613|56801904|新加坡商蝦皮娛樂電商有限公司台灣分公司|BK37774087|358|開立|
D|BK37774087|458|【UNDER ARMOUR】UA男 Training Graphics短T-Shirt(亞洲版型)-優惠商品|
D|BK37774087|-100|賣家折扣|
M|手機條碼|/FBY9RLQ|20240614|28993959|統一超商股份有限公司台北市第六九七分公司|AQ35274929|135|開立|
D|AQ35274929|70|可口可樂ZERO-PET600.|
D|AQ35274929|79|(實)小潘鳳凰酥2入|
D|AQ35274929|-14|可樂x奧運加價購第2件6折*1FSS*|
M|手機條碼|/FBY9RLQ|20240614|25597126|台灣大創百貨股份有限公司南西店|AX53852629|49|開立|
D|AX53852629|49|袋口夾|
M|手機條碼|/FBY9RLQ|20240614|38495256|台灣福代克思股份有限公司中山店|BA79431947|620|開立|
D|BA79431947|620|餐飲費|
M|【樂購蝦皮】載具|88777125|20240618|56801904|新加坡商蝦皮娛樂電商有限公司台灣分公司|BK40246933|970|開立|
D|BK40246933|335|米家 LED 智慧燈泡 Lite 彩光版【小米官方旗艦店】|
D|BK40246933|-60|蝦皮折扣(折價券)|
D|BK40246933|695|Xiaomi 智慧延長線 20W 快充版【小米官方旗艦店】|
M|手機條碼|/FBY9RLQ|20240627|97176270|台灣大哥大股份有限公司|AP32557449|300|開立|
D|AP32557449|300|ETU儲值_上網儲值包2.2GB送5.8GB(效期60天)|
M|手機條碼|/FBY9RLQ|20240629|50853088|宜家家居股份有限公司新店分公司|AF31124921|20|開立|
D|AF31124921|20|CARAMEL EGG TART FLAVOR ICE CREAM|
M|手機條碼|/FBY9RLQ|20240629|50853088|宜家家居股份有限公司新店分公司|AF31228514|229|開立|
D|AF31228514|199|SWEDISH MEATBALLS 15P|
D|AF31228514|30|FY17 COLD DRINK|
M|手機條碼|/FBY9RLQ|20240629|50853088|宜家家居股份有限公司新店分公司|AF31290478|3514|開立|
